date,open,high,low,close,spread,market_ret_1d,market_open_ret
2025-10-22,27614.11,27725.83,27490.89,27648.91,-103.5,-0.0037294058425917376,-0.004983350995463098
2025-10-23,27457.07,27586.85,27371.67,27532.26,-116.65,-0.004218972827500278,-0.00693842903752806
2025-10-27,28029.88,28196.33,27993.63,27993.63,461.37,0.01675743291687648,0.018074070199831205
2025-10-28,28041.01,28087.93,27885.62,27949.11,-44.52,-0.0015903618073112025,0.0016925279072417254
2025-10-29,28157.91,28395.31,28139.65,28294.74,345.63,0.012366404511628515,0.007470720892364779
2025-10-30,28350.24,28527.68,28116.6,28287.53,-7.21,-0.00025481767989399273,0.001961495316797457
2025-10-31,28280.47,28489.76,28233.35,28233.35,-54.18,-0.001915331596643477,-0.0002495799385806574
2025-11-03,28253.53,28494.99,28150.45,28334.59,101.24,0.0035858302326858826,0.0007147575473687162
2025-11-04,28364.76,28554.61,28033.62,28116.56,-218.03,-0.007694835182015969,0.0010647763034510316
2025-11-05,27785.91,27799.09,27373.05,27717.06,-399.5,-0.014208708319936703,-0.011759973481820007
2025-11-06,27906.44,28061.53,27879.7,27899.45,182.39,0.006580423753457243,0.006832615003178555
2025-11-07,27818.54,27818.54,27621.48,27651.41,-248.04,-0.008890497841355316,-0.0029000571695857458
2025-11-10,27805.47,27976.89,27680.51,27869.51,218.1,0.007887482048835714,0.00557150611849444
2025-11-11,28031.54,28187.7,27784.95,27784.95,-84.56,-0.0030341401768455567,0.005813880473678923
